Time_s,F0_Hz
1.291991,1711.537736
1.293241,1674.877474
1.294491,1748.690843
1.295741,1754.946007
1.296991,1785.973153
1.298241,1833.726443
1.299491,1795.190037
1.300741,NaN
1.301991,NaN
1.303241,NaN
1.304491,NaN
1.305741,NaN
1.306991,NaN
1.308241,NaN
1.309491,NaN
1.310741,NaN
1.311991,NaN
1.313241,NaN
1.314491,NaN
1.315741,NaN
1.316991,NaN
1.318241,NaN
1.319491,NaN
1.320741,NaN
1.321991,NaN
1.323241,NaN
1.324491,NaN
1.325741,NaN
1.326991,NaN
1.328241,NaN
1.329491,NaN
1.330741,NaN
1.331991,NaN
1.333241,NaN
1.334491,NaN
1.335741,NaN
1.336991,NaN
1.338241,NaN
1.339491,NaN
1.340741,NaN
1.341991,NaN
1.343241,NaN
1.344491,NaN
1.345741,NaN
1.346991,NaN
1.348241,NaN
1.349491,NaN
1.350741,NaN
1.351991,NaN
1.353241,NaN
1.354491,NaN
1.355741,NaN
1.356991,NaN
1.358241,NaN
1.359491,1749.831123
1.360741,1744.012984
1.361991,1741.249620
1.363241,1729.482433
1.364491,1558.300791
1.365741,1601.392319
1.366991,1639.906117
1.368241,1697.890646
1.369491,1742.000169
1.370741,1778.154144
1.371991,1807.208750
1.373241,1819.525641
1.374491,1814.748226
1.375741,1827.809553
1.376991,1821.148183
1.378241,1820.581670
1.379491,1876.222218
1.380741,1924.237428
1.381991,1901.905644
1.383241,1899.848541
1.384491,1176.880982
1.385741,1157.979572
1.386991,1139.604427
1.388241,1132.787189
1.389491,1139.053448
1.390741,1142.167465
1.391991,1154.742517
1.393241,1185.538403
1.394491,1217.181961
1.395741,1185.828827
1.396991,1198.143258
1.398241,1199.578308
1.399491,1158.627664
1.400741,1154.572702
1.401991,1123.759155
1.403241,NaN
1.404491,NaN
1.405741,NaN
1.406991,NaN
1.408241,NaN
1.409491,3348.117856
1.410741,2986.589046
1.411991,2689.550089
1.413241,2588.875649
1.414491,2327.085246
1.415741,2308.156644
1.416991,2315.112396
1.418241,2329.080937
1.419491,2378.771915
1.420741,2423.893616
1.421991,2445.029211
1.423241,2480.224888
1.424491,2545.956238
1.425741,2947.187509
1.426991,3037.921542
1.428241,3263.833432
1.429491,3369.215451
1.430741,3081.308082
1.431991,2950.499303
1.433241,3212.936325
1.434491,3318.275461
1.435741,3180.807160
1.436991,3342.959991
1.438241,3389.779145
1.439491,3175.231044
1.440741,2983.755848
1.441991,3044.028761
1.443241,2101.751104
1.444491,2059.085024
1.445741,1983.474150
1.446991,1888.789815
1.448241,1867.449862
1.449491,1828.242631
1.450741,1790.186458
1.451991,1764.063866
1.453241,1725.631815
1.454491,1681.123929
1.455741,1673.314083
1.456991,1738.697760
1.458241,1755.693367
1.459491,1797.630341
1.460741,1798.233594
1.461991,1805.299079
1.463241,1814.616970
1.464491,1810.387460
1.465741,1779.289544
1.466991,1762.743901
1.468241,NaN
1.469491,NaN
1.470741,NaN
1.471991,NaN
1.473241,NaN
1.474491,NaN
1.475741,NaN
1.476991,NaN
1.478241,NaN
1.479491,NaN
1.480741,NaN
1.481991,NaN
1.483241,NaN
1.484491,NaN
1.485741,NaN
1.486991,NaN
1.488241,NaN
1.489491,NaN
1.490741,NaN
1.491991,NaN
1.493241,NaN
1.494491,NaN
1.495741,NaN
1.496991,NaN
1.498241,NaN
1.499491,NaN
1.500741,NaN
1.501991,NaN
1.503241,NaN
1.504491,NaN
1.505741,NaN
1.506991,NaN
1.508241,NaN
1.509491,NaN
1.510741,NaN
1.511991,NaN
1.513241,NaN
1.514491,NaN
1.515741,NaN
1.516991,NaN
1.518241,NaN
1.519491,NaN
1.520741,NaN
1.521991,NaN
1.523241,NaN
1.524491,NaN
1.525741,NaN
1.526991,NaN
1.528241,1717.439237
1.529491,1740.923925
1.530741,1757.951024
1.531991,1749.664186
1.533241,1591.073702
1.534491,1601.301586
1.535741,1665.669725
1.536991,1722.398720
1.538241,1757.264948
1.539491,1794.620347
1.540741,1816.398171
1.541991,1818.985011
1.543241,1821.665823
1.544491,1824.162181
1.545741,1791.764185
1.546991,1792.742837
1.548241,1827.013327
1.549491,1919.020412
1.550741,1968.812968
1.551991,1987.991591
1.553241,2014.394063
1.554491,2184.066009
1.555741,2233.403432
1.556991,2255.346527
1.558241,2267.954789
1.559491,2293.820929
1.560741,2303.597902
1.561991,2320.162361
1.563241,2332.204004
1.564491,2348.198586
1.565741,2535.249044
1.566991,2982.965557
1.568241,3266.381578
1.569491,3376.912133
1.570741,3337.521543
1.571991,3324.896749
1.573241,3260.456674
1.574491,NaN
1.575741,NaN
1.576991,NaN
1.578241,NaN
1.579491,NaN
1.580741,1743.177578
1.581991,1762.067958
1.583241,1855.801407
1.584491,2033.024605
1.585741,2171.518444
1.586991,2233.745220
1.588241,2283.785977
1.589491,2324.439506
1.590741,2363.314348
1.591991,2438.862702
1.593241,2495.910222
1.594491,2512.707998
1.595741,2542.311281
1.596991,2587.590621
1.598241,2731.432827
1.599491,3043.163233
1.600741,3328.756284
1.601991,3357.920876
1.603241,3208.345117
1.604491,2900.761818
1.605741,3030.515652
1.606991,3117.009970
1.608241,3333.898370
1.609491,3512.129299
1.610741,3478.603194
1.611991,3338.067376
1.613241,2971.429618
1.614491,2464.963556
1.615741,2188.788167
1.616991,2217.894892
1.618241,2207.228614
1.619491,2207.907977
1.620741,2148.284648
1.621991,2037.597001
1.623241,2156.326214
1.624491,1910.719221
1.625741,1817.938976
1.626991,1793.114469
1.628241,1762.840908
1.629491,1726.578524
1.630741,1686.325644
1.631991,1774.418345
1.633241,1768.304786
1.634491,1721.788113
1.635741,1653.952825
1.636991,1622.788826
1.638241,1700.666441
